User,collect_list(Reco)
86313,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
86426,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
86946,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
87157,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
87293,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
87369,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
87800,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
88282,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
88632,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
88692,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
88926,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
89534,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
89776,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
90003,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
90097,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
90297,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
90549,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
90587,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
90815,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
90870,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
90890,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
90974,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
91641,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
91675,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
92542,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
93293,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
93325,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
93441,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
93536,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
93993,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
94121,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
94152,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
94201,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
94417,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
95216,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
95891,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
96099,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
96125,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
96188,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
96595,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
96691,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
96744,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
96789,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
96969,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
98475,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
98698,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
98703,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
98767,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
98815,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
99098,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
99356,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
99406,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
99573,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
99744,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
99808,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
99896,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
99905,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
100054,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
388,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
417,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
548,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
1208,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
1775,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
2168,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
3260,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
3502,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
3621,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
3912,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
4591,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
4617,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
4669,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
4873,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
4910,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
5374,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
5886,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
5897,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
5909,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
6096,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
6100,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
6440,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
6572,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
6717,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
6852,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
7106,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
7418,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
7504,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
7600,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
8318,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
8351,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
8774,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
8947,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
9178,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
9677,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
9689,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
9915,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
10535,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
10913,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
11517,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
12162,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
12232,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
12489,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
13248,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
13431,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
13781,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
14370,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
14598,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
14860,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
15401,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
15856,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
15940,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
16057,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
16159,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
16483,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
16682,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
17974,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
18062,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
18332,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
18883,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
18896,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
19002,"[1, 11, 21, 2, 12, 22, 3, 13, 23, 4]"
19100,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
19136,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
19188,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
19212,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
19404,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
19815,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
20041,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
20377,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
21122,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
21246,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
21314,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
21430,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
21988,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
22229,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
22260,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
22595,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
22887,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
23365,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
23780,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
23798,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
24033,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
24311,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
24374,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
24655,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
24699,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
25051,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
25075,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
25094,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
25325,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
25484,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
25606,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
25671,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
25871,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
26775,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
26996,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
27103,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
29155,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
29609,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
29809,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
29979,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
30032,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
30147,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
30465,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
30517,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
30603,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
30828,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
31458,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
31596,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
32330,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
32469,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
32535,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
33207,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
33223,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
34166,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
34441,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
34548,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
34587,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
35876,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
36230,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
36659,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
36791,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
36895,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
37247,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
37596,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
37663,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
37872,"[15, 10, 2, 11, 3, 1, 13, 16, 6, 24]"
38426,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
39219,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
39848,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
40087,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
40118,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
40139,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
40417,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
40648,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
40826,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
41523,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
41533,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
42302,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
42362,"[1, 11, 21, 2, 12, 22, 3, 13, 23, 4]"
43068,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
43131,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
43247,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
43323,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
43389,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
43707,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
43959,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
44010,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
44423,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
44427,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
44448,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
45017,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
45332,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
45625,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
46092,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
46356,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
46430,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
46474,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
47132,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
48074,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
48638,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
49042,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
49093,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
49247,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
49293,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
49484,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
49830,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
50128,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
50467,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
50712,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
50862,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
51023,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
51159,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
51248,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
51655,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
51946,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
52101,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
52191,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
52425,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
52896,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
52940,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
53109,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
53482,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
53827,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
53850,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
54152,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
54771,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
55264,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
55730,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
55837,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
55851,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
55892,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
56039,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
56243,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
56301,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
57090,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
57111,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
57130,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
57171,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
57432,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
57479,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
57692,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
58188,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
58435,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
58564,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
59521,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
59570,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
59808,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
60060,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
60217,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
60720,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
61700,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
61870,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
61892,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
61961,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
62101,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
62655,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
63000,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
63362,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
63400,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
63638,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
63975,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
64280,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
64451,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
64453,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
64978,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
65737,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
65901,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
66195,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
66526,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
66631,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
66960,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
67040,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
67171,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
67616,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
68606,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
68719,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
68892,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
68946,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
69013,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
69484,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
69668,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
69796,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
69879,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
70232,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
70249,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
70427,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
70695,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
70751,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
70916,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
71507,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
72385,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
72469,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
72624,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
72734,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
72771,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
72795,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
72813,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
73438,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
73589,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
74176,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
74258,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
74426,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
74517,"[2, 15, 19, 11, 20, 23, 1, 17, 24, 12]"
74617,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
74961,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
75563,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
75871,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
75887,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
76198,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
76753,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
76896,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
76911,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
77650,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
77745,"[15, 2, 24, 10, 11, 12, 3, 21, 1, 19]"
78107,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
78172,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
78421,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
79011,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
79337,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
79456,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
79654,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
79938,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
80191,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
80801,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
81031,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
81166,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
81260,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
81445,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
81577,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
81597,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
81837,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
81913,"[20, 2, 21, 1, 23, 5, 17, 11, 16, 18]"
81992,"[21, 2, 20, 11, 10, 19, 23, 4, 12, 5]"
82191,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
82338,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
82439,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
82665,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
82864,"[21, 10, 18, 5, 2, 15, 20, 1, 24, 9]"
83283,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
83801,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
84121,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
84666,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
84937,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
84980,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
85044,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
85634,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
85706,"[10, 20, 1, 11, 21, 2, 12, 22, 3, 13]"
85720,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
85844,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
85974,"[2, 7, 21, 17, 20, 1, 23, 18, 5, 11]"
86007,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
86503,"[10, 21, 15, 24, 11, 2, 1, 3, 5, 12]"
86763,"[21, 5, 18, 20, 10, 1, 7, 9, 23, 15]"
87232,"[24, 16, 2, 1, 11, 3, 15, 10, 21, 20]"
87469,"[24, 15, 10, 2, 11, 3, 1, 13, 16, 6]"
87969,"[16, 21, 9, 3, 24, 1, 15, 18, 10, 2]"
88148,"[21, 18, 5, 20, 15, 10, 2, 7, 9, 1]"
88358,"[15, 2, 12, 10, 21, 3, 24, 11, 8, 18]"
88791,"[16, 3, 24, 1, 17, 9, 11, 22, 20, 10]"
89072,"[16, 3, 24, 1, 17, 22, 20, 9, 21, 11]"
89100,"[8, 2, 12, 3, 11, 17, 5, 21, 9, 20]"
89201,"[2, 11, 24, 15, 1, 17, 3, 23, 20, 21]"
89235,"[24, 2, 15, 3, 10, 11, 13, 1, 6, 16]"
89322,"[2, 24, 11, 1, 15, 10, 3, 17, 16, 23]"
89452,"[2, 20, 23, 11, 17, 1, 19, 7, 21, 15]"
89617,"[2, 17, 1, 20, 16, 24, 11, 7, 23, 3]"
90168,"[16, 3, 24, 2, 1, 15, 11, 10, 17, 9]"
90214,"[24, 16, 2, 3, 11, 1, 15, 10, 13, 21]"
